;Column Labels;;;;;;;;;;;;;;;;;;;
;15/02/2019 10:08;;15/03/2019 09:42;;22/03/2019 10:01;;07/07/2020 09:59;;24/11/2020 10:08;;10/01/2021 09:49;;22/04/2021 10:06;;11/12/2021 10:04;;01/02/2022 09:16;;03/02/2022 10:05;
Values;coregistered;original;coregistered;original;coregistered;original;coregistered;original;coregistered;original;coregistered;original;coregistered;original;coregistered;original;coregistered;original;coregistered;original
Sum of count_Maggiore;1787;2048;1623;1941;1731;2014;1350;1802;1604;1911;1657;1949;1796;2133;1834;2054;1138;1537;424;630
Sum of max_Maggiore;16.56670761;28.72538757;8.068915367;10.35964489;21.01958275;23.27653313;7.146979332;7.883639812;10.58399868;12.80353832;6.620651722;7.00724268;9.625595093;12.7378149;8.305294991;11.62563229;22.03365707;23.12744331;8.00581646;9.339953423
Sum of min_Maggiore;0.008624365;0;0.437567681;0;0.119625084;0;0.0912866;0;0.076939568;0;0.021209143;0;0.246348903;0;0.059127316;0;0.207379758;0;0.23932296;0
Sum of mean_Maggiore;5.159538726;4.992351055;3.075497668;2.948149864;5.908278158;5.675647906;3.919361617;3.050032028;6.625588129;6.413031769;3.085541453;2.948287784;2.919901485;2.572859666;4.119903664;4.064268653;8.424761781;7.279171072;4.940342165;4.689553881
Sum of std_Maggiore;1.252878708;1.826377198;1.371586939;1.522899578;1.325906566;1.871945103;0.723932236;1.750503934;0.977435098;1.746300571;1.190155929;1.474357512;0.73007792;1.307191422;1.121102268;1.335518407;4.277027564;4.913466007;0.776299385;1.442822722
Sum of median_Maggiore;5.114084244;5.093660831;3.507865191;3.366724253;5.55149889;5.464762211;3.749146223;3.684317827;6.721516609;6.694590092;3.232902765;3.078944921;2.961210251;2.876022339;4.558447838;4.586224556;6.432393074;5.851925373;5.009174347;4.995448112
Sum of percentile_25_Maggiore;4.949349403;4.863204002;1.718606889;1.433199286;5.28478384;5.252391338;3.665869415;2.509200871;6.334096074;6.177765846;2.131201744;1.908814669;2.628405452;2.153829098;3.983871102;3.986097276;5.19584775;4.096871853;4.665525913;4.492314816
Sum of percentile_50_Maggiore;5.114084244;5.093660831;3.507865191;3.366724253;5.55149889;5.464762211;3.749146223;3.684317827;6.721516609;6.694590092;3.232902765;3.078944921;2.961210132;2.876022339;4.558448076;4.586224794;6.432393074;5.851925373;5.009174585;4.995448112
Sum of percentile_75_Maggiore;5.256607771;5.234021664;4.197936535;4.196077347;6.49456811;6.612203121;4.08355689;3.851137877;7.087749124;7.128911972;3.903662443;3.951778889;3.189002037;3.188801765;4.801760197;4.814553738;12.09484696;11.63150501;5.244967699;5.245496035
Sum of min_Como;0.108736552;0;0.47128436;0;0.029327203;0;0.491595596;0;0.165542841;0;0.019296024;0;0.205068827;0;0.008482158;0;0.024284957;0;0.450830042;0
Sum of max_Como;10.29594135;13.7076664;6.809678555;6.809678555;15.44094753;10.96123505;7.956685543;8.135936737;13.57904053;16.16320038;4.226676464;4.574763298;8.182379723;9.329957962;4.061017513;4.428884983;24.07731247;27.60089111;11.51810074;19.76940727
Sum of mean_Como;4.110329368;4.010486299;2.886763244;2.683916168;4.9278675;4.625509761;4.764235254;3.639135021;7.116431287;7.078035602;1.520554568;1.446526585;3.893477082;3.338369961;2.489003718;2.406609974;6.958284698;4.99873585;4.810163519;3.86939719
Sum of count_Como;1122;1330;845;1154;1038;1273;829;1321;862;1147;919;1162;884;1310;932;1233;507;871;178;393
